Title,Link
ETRI, “AI 안전-신뢰 국제 표준 주도한다”...소버린 AI 뒷받침,https://www.boannews.com/media/view.asp?idx=138789&page=3&kind=2
[미리보는 IPCON 2025] IP에 AI 적용, 초거대·초집중·압도적여야!,https://www.boannews.com/media/view.asp?idx=138788&page=3&kind=1
팔로알토 네트웍스, ASPM 혁신으로 ‘선제적 차단 시대’ 열어,https://www.boannews.com/media/view.asp?idx=138786&page=3&kind=3
누리랩, AI 피싱 URL 검출 기술 일본 특허 등록,https://www.boannews.com/media/view.asp?idx=138784&page=3&kind=3
마이크로소프트, 벤츠-EPL-엘랑코 등 고객사 혁신 사례 공유,https://www.boannews.com/media/view.asp?idx=138781&page=3&kind=3
파수, ARM 아키텍처 지원 발표...신규 시장 개척,https://www.boannews.com/media/view.asp?idx=138779&page=3&kind=3
HS효성인포메이션시스템 ‘VSP One SDS’, 구글 클라우드 마켓플레이스 입점,https://www.boannews.com/media/view.asp?idx=138780&page=3&kind=3
기후변화로 더 커진 자연재난...정부, AI로 피해 막는다,https://www.boannews.com/media/view.asp?idx=138775&page=3&kind=2
시놀로지, 2025 가트너 고객의 소리의 주요 스토리지 플랫폼으로 선정,https://www.boannews.com/media/view.asp?idx=138778&page=3&kind=3
자연어 처리 모델 활용한 악성 트래픽 탐지, ‘ISEC Training Course’에서 배운다,https://www.boannews.com/media/view.asp?idx=138777&page=3&kind=3
지니언스, 통합 단말 보안 플랫폼 '지니안 인사이츠 E 3.0' 출시,https://www.boannews.com/media/view.asp?idx=138776&page=3&kind=3
보안 업계, 상반기 실적 순항...‘SKT 효과’ 반영은 아직,https://www.boannews.com/media/view.asp?idx=138773&page=4&kind=3
카스퍼스키, 보안 앱 위장해 정보 탈취하는 ‘루나스파이’ 탐지,https://www.boannews.com/media/view.asp?idx=138774&page=4&kind=3
포티넷, ‘포티레콘’ 업데이트...위협 노출 관리·대응 역량 강화,https://www.boannews.com/media/view.asp?idx=138772&page=4&kind=3
아우토크립트, 데프콘 차량 해킹 대회서 3위...상위권 경신,https://www.boannews.com/media/view.asp?idx=138770&page=4&kind=3
금융권 잇단 사이버 위기...웰컴금융그룹 “랜섬웨어 피해 복구 중”,https://www.boannews.com/media/view.asp?idx=138769&page=4&kind=1
K-콘텐츠 열풍 불구, 돈은 美·日 차지...IP수출 늘려야,https://www.boannews.com/media/view.asp?idx=138771&page=4&kind=1
[미리보는 IPCON 2025] IP를 ‘돈’으로...AI는 연금술사!,https://www.boannews.com/media/view.asp?idx=138764&page=4&kind=1
한컴위드, 금거래소 호조로 상반기 영업이익 750%↑...“보안 경쟁력 강화 중”,https://www.boannews.com/media/view.asp?idx=138763&page=4&kind=3
스틸리언-현대해상 ‘맞손’ 모의해킹과 사이버보험 시너지 기대,https://www.boannews.com/media/view.asp?idx=138760&page=4&kind=3
중국 APT 그룹, 대만 웹호스팅 업체 표적 사이버 공격,https://www.boannews.com/media/view.asp?idx=138759&page=4&kind=1
업비트, 법인 고객 100곳 돌파...법인 시장도 1위,https://www.boannews.com/media/view.asp?idx=138758&page=4&kind=3
[ISEC 2025 미리보기] 시스원, 시큐아이 IPS-WIPS 신제품 앞세워 조달 시장 공략,https://www.boannews.com/media/view.asp?idx=138727&page=4&kind=1
펜타시큐리티, ISEC 2025 참가...미니 세미나 등 다양한 이벤트 진행,https://www.boannews.com/media/view.asp?idx=138757&page=4&kind=3
[ISEC 2025 미리보기] 모코엠시스, ‘엠파워’ 시리즈 총출동,https://www.boannews.com/media/view.asp?idx=138719&page=4&kind=3
[ISEC 2025 미리보기] 넷앤드, 제로트러스트 기반 IAM 솔루션으로 통합 보안 관리 방안 제시,https://www.boannews.com/media/view.asp?idx=138690&page=4&kind=3
엣지파운드리, 비냉각식 IR센서 기반 열화상 카메라 모듈 ‘Thermo K’ 론칭,https://www.boannews.com/media/view.asp?idx=138756&page=4&kind=3
탈레스, NIST 승인 양자내성 암호화(PQC) 알고리즘 내장한 Luna HSM v7.9 펌웨어 출시,https://www.boannews.com/media/view.asp?idx=138755&page=4&kind=3
[국방보안 칼럼] 을지연습, 사이버 전장을 품다,https://www.boannews.com/media/view.asp?idx=138754&page=4&kind=2
“지재권, 베트남선 이렇게 보호받아야...18일 ‘IP보호 세미나’ 개최”,https://www.boannews.com/media/view.asp?idx=138753&page=4&kind=1
18일부터 나흘간 ‘을지연습’…드론 등 새 안보위협 대비,https://www.boannews.com/media/view.asp?idx=138752&page=4&kind=2
기초의원 겨냥한 딥페이크 협박 ‘수사중지’…지방선거 앞 우려 증폭,https://www.boannews.com/media/view.asp?idx=138751&page=5&kind=1
군 인터넷 겨냥 사이버 공격 급증...“사이버안보 콘트롤타워 시급”,https://www.boannews.com/media/view.asp?idx=138750&page=5&kind=2
“재난 상황에도 안정적 서비스” LG유플러스, 방송중계·IPTV 국제인증 획득,https://www.boannews.com/media/view.asp?idx=138749&page=5&kind=3
SKT, 즐기면서 배우는 ‘AI 놀이터’ 마련,https://www.boannews.com/media/view.asp?idx=138748&page=5&kind=3
전국 10만개 노후 공공건물, 에스원 IoT 스마트 솔루션으로 관리한다,https://www.boannews.com/media/view.asp?idx=138746&page=5&kind=3
노르웨이 댐 해킹해 수문 개방한 범인은 러시아 해커,https://www.boannews.com/media/view.asp?idx=138745&page=5&kind=1
[부고] 박윤하 스피어에이엑스 대표 부친상,https://www.boannews.com/media/view.asp?idx=138744&page=5&kind=3
[IP포토] 특허청장, 특사경 창고엔 왜?,https://www.boannews.com/media/view.asp?idx=138743&page=5&kind=1
시스코, Secure FMC에서 심각한 보안 취약점 패치...위험도 10점 만점,https://www.boannews.com/media/view.asp?idx=138742&page=5&kind=1
과기정통부-산업부, AI 대전환 ‘맞손’... AI 3大 강국 앞당긴다,https://www.boannews.com/media/view.asp?idx=138741&page=5&kind=2
[카드뉴스] 8월 15일 광복절, 광복군 전략으로 지키는 K-사이버보안,https://www.boannews.com/media/view.asp?idx=138726&page=5&kind=1
사내 공용 NAS가 랜섬웨어 주요 침투 경로...KISA, 보안 강화 수칙 발표,https://www.boannews.com/media/view.asp?idx=138740&page=5&kind=1
[부고] 이동근 한국인터넷진흥원(KISA) 디지털위협대응본부장 빙모상,https://www.boannews.com/media/view.asp?idx=138739&page=5&kind=1
[대한민국 털렸다] 대통령실, 김수키 해킹 외신 질문에 “국방부에 물어라”,https://www.boannews.com/media/view.asp?idx=138738&page=5&kind=1
지슨, 코스닥 상장...“기술 고도화와 글로벌 진출 집중할 것”,https://www.boannews.com/media/view.asp?idx=138737&page=5&kind=3
[Editor’s cut] 특허청장은 왜 그랬을까?,https://www.boannews.com/media/view.asp?idx=138736&page=5&kind=2
“보안의 완성은 기술 아닌 사람에 있어”...기업보안협의회 주제 발표,https://www.boannews.com/media/view.asp?idx=138732&page=5&kind=3
김창훈 대구대 교수 “N²SF, 기존 기업 보안 근본적 취약 극복”,https://www.boannews.com/media/view.asp?idx=138729&page=5&kind=2
[이원태의 글로벌 AI안보 전략-3] 한국의 AI 외교: 미·중 패권 사이, ‘실용적 균형’으로 돌파해야,https://www.boannews.com/media/view.asp?idx=138728&page=5&kind=2
노조미네트웍스-슈나이더일렉트릭, RTU 내장 보안 센서 출시,https://www.boannews.com/media/view.asp?idx=138725&page=5&kind=3
