Title,Link
[이슈칼럼] AI 시대, 산업보안의 중요성과 산업보안관리사의 활용도 제고 방안,https://www.boannews.com/media/view.asp?idx=138538&page=1&kind=2
[SGI서울보증 랜섬웨어] 13.2T 규모 SGI 데이터 ‘매물’로 나왔다…“후폭풍 심각”,https://www.boannews.com/media/view.asp?idx=138537&page=1&kind=1
CISO 4명 중 1명 “우리 회사 보안 전담인력 1명도 없다”,https://www.boannews.com/media/view.asp?idx=138534&page=1&kind=3
[한국융합보안학회 칼럼] 새 정부에 바라는 사이버보안 정책에 대한 제언,https://www.boannews.com/media/view.asp?idx=138515&page=1&kind=2
‘AI 국가대표’ 5팀에 네이버·SKT·LG·NC·업스테이지… ‘K-AI 기업’으로 불린다,https://www.boannews.com/media/view.asp?idx=138528&page=1&kind=2
러시아 해커 ‘털라’, 러시아 보안 기업 사칭해 대사관 해킹,https://www.boannews.com/media/view.asp?idx=138524&page=1&kind=1
“평범한 사진인 줄 알았는데 해킹”…‘RoKRAT’, 스테가노그래피·파일리스 공격으로 진화,https://www.boannews.com/media/view.asp?idx=138521&page=1&kind=1
[2025 EDR/XDR 솔루션 리포트] AI 기반 위협탐지와 대응 위한 최선의 대안,https://www.boannews.com/media/view.asp?idx=138451&page=1&kind=3
‘ISEC Training Course’, 실습 통해 악성 트래픽 탐지 ‘완전정복’,https://www.boannews.com/media/view.asp?idx=138461&page=1&kind=3
[2025 항공보안 검색장비 제품&솔루션 리포트] 기술로 지키는 국경 안전과 공항 보안,https://www.boannews.com/media/view.asp?idx=138429&page=1&kind=3
한화비전, 일본 도쿄에 기술 체험관 오픈,https://www.boannews.com/media/view.asp?idx=138544&page=1&kind=3
슈프리마, AI 기술 체험과 함께한 임직원 자녀초청행사 성료,https://www.boannews.com/media/view.asp?idx=138543&page=1&kind=3
KISIA, 보안 산업 투자 활성화 나서...VC 피칭 행사 개최,https://www.boannews.com/media/view.asp?idx=138542&page=1&kind=2
앤넷CDS 가드 V2.0, 국방부 ‘장병 체감형 원스톱 서비스 플랫폼’ 구축 사업 CDS 선정,https://www.boannews.com/media/view.asp?idx=138539&page=1&kind=3
조달청, 신산업분야 유망기술과 제품 발굴할 스카우터 기관 모집,https://www.boannews.com/media/view.asp?idx=138532&page=1&kind=2
[ISEC 2025 미리보기] 엔키화이트햇, 오펜시브 보안 플랫폼 첫 공개...공격 표면 찾고 해커처럼 침투,https://www.boannews.com/media/view.asp?idx=138400&page=1&kind=3
조달청, 토론평가·역평가 新 평가기법 도입으로 조달 평가 정성 확보,https://www.boannews.com/media/view.asp?idx=138531&page=1&kind=2
[ISEC 2025 미리보기] 스패로우, 애플리케이션 보안 테스팅 통합 보안으로 SW 공급망 보안 선제적 대응,https://www.boannews.com/media/view.asp?idx=138399&page=1&kind=3
[ISEC 2025 미리보기] LG CNS, AI 기반 통합 보안 브랜드 ‘시큐엑스퍼’로 글로벌 보안 리더십 강화,https://www.boannews.com/media/view.asp?idx=138398&page=1&kind=3
사용자의 숨은 의도까지 이해, SKT 에이닷 4.0 업데이트,https://www.boannews.com/media/view.asp?idx=138530&page=1&kind=3
이스트소프트, LG 컨소시엄 참여사로 ‘독자 AI 기초모형 사업’ 선발,https://www.boannews.com/media/view.asp?idx=138527&page=1&kind=2
4중 갈취까지 진화한 랜섬웨어...아카마이, 현황 보고서 발간,https://www.boannews.com/media/view.asp?idx=138526&page=1&kind=1
류제명 차관, 중국·일본과 디지털·AI 협력 확대 나서...차관급 양자면담 진행,https://www.boannews.com/media/view.asp?idx=138525&page=1&kind=2
과기정통부, APEC 장관들과 디지털·AI 전환 논의...장관회의 최초 개최,https://www.boannews.com/media/view.asp?idx=138522&page=1&kind=2
우리 말·글꼴, 지식재산으로 지킨다...청, 관련 공모전 개최,https://www.boannews.com/media/view.asp?idx=138520&page=1&kind=1
DJI, 새로운 360도 카메라 ‘Osmo 360’ 출시,https://www.boannews.com/media/view.asp?idx=138519&page=1&kind=3
라온시큐어, 클라우드 통합계정 관리 ‘옴니원 억세스’ 출시,https://www.boannews.com/media/view.asp?idx=138518&page=1&kind=3
주원, 가스감지기 연동형 복합 열화상 카메라 출시,https://www.boannews.com/media/view.asp?idx=138517&page=1&kind=3
핀텔, 인천국제공항 AI CCTV 사업 수주,https://www.boannews.com/media/view.asp?idx=138516&page=1&kind=3
이엘피케이뉴, 4K UHD 솔루션 출시,https://www.boannews.com/media/view.asp?idx=138514&page=1&kind=3
시큐아이, 임직원과 지역사회 위한 ‘삼복(三伏) 행사’ 펼쳐,https://www.boannews.com/media/view.asp?idx=138513&page=2&kind=3
안랩, 임직원 자녀 대상 ‘2025 여름시즌 미래상상 코딩캠프’ 성료,https://www.boannews.com/media/view.asp?idx=138512&page=2&kind=3
