Title,Link
[미리보는 eGISEC 2025] 가비아,https://www.boannews.com/media/view.asp?idx=136035&page=1&kind=3
[미리보는 eGISEC 2025] YH데이타베이스,https://www.boannews.com/media/view.asp?idx=136034&page=1&kind=3
[미리보는 eGISEC 2025] BeyondTrust,https://www.boannews.com/media/view.asp?idx=136033&page=1&kind=3
[미리보는 SECON 2025] 홍석,https://www.boannews.com/media/view.asp?idx=136032&page=1&kind=3
[미리보는 SECON 2025] 혜성테크윈,https://www.boannews.com/media/view.asp?idx=136031&page=1&kind=3
[미리보는 SECON 2025] 한화비전,https://www.boannews.com/media/view.asp?idx=136030&page=1&kind=3
[미리보는 SECON 2025] 한국페트라이트,https://www.boannews.com/media/view.asp?idx=136029&page=1&kind=3
[미리보는 SECON 2025] 한국아이티에스,https://www.boannews.com/media/view.asp?idx=136028&page=1&kind=3
[미리보는 SECON 2025] 한국씨텍,https://www.boannews.com/media/view.asp?idx=136027&page=2&kind=3
[미리보는 SECON 2025] 핀텔,https://www.boannews.com/media/view.asp?idx=136026&page=2&kind=3
[미리보는 SECON 2025] 프로브디지털,https://www.boannews.com/media/view.asp?idx=136025&page=2&kind=3
[미리보는 SECON 2025] 포스텍,https://www.boannews.com/media/view.asp?idx=136024&page=2&kind=3
[미리보는 SECON 2025] 티피링크코리아,https://www.boannews.com/media/view.asp?idx=136023&page=2&kind=3
[미리보는 SECON 2025] 티아이에스씨,https://www.boannews.com/media/view.asp?idx=136022&page=2&kind=3
[미리보는 SECON 2025] 트루엔,https://www.boannews.com/media/view.asp?idx=136021&page=2&kind=3
[미리보는 SECON 2025] 트랜센드코리아,https://www.boannews.com/media/view.asp?idx=136020&page=2&kind=3
[미리보는 SECON 2025] 태정이엔지,https://www.boannews.com/media/view.asp?idx=136019&page=2&kind=3
[미리보는 SECON 2025] 여의시스템,https://www.boannews.com/media/view.asp?idx=136018&page=2&kind=3
[미리보는 SECON 2025] 태양테크,https://www.boannews.com/media/view.asp?idx=136017&page=2&kind=3
[미리보는 SECON 2025] 케이제이테크,https://www.boannews.com/media/view.asp?idx=136016&page=2&kind=1
[미리보는 SECON 2025] 카티스,https://www.boannews.com/media/view.asp?idx=136015&page=2&kind=3
[미리보는 SECON 2025] 진명아이앤씨,https://www.boannews.com/media/view.asp?idx=136014&page=2&kind=3
[미리보는 SECON 2025] 지플러스시스템즈,https://www.boannews.com/media/view.asp?idx=136013&page=2&kind=3
[미리보는 SECON 2025] 지인테크,https://www.boannews.com/media/view.asp?idx=136012&page=2&kind=3
[미리보는 SECON 2025] 지오비전,https://www.boannews.com/media/view.asp?idx=136011&page=2&kind=3
[미리보는 SECON 2025] 지오멕스소프트,https://www.boannews.com/media/view.asp?idx=136010&page=2&kind=3
[미리보는 SECON 2025] 지에스티,https://www.boannews.com/media/view.asp?idx=136009&page=2&kind=3
[미리보는 SECON 2025] 지슨,https://www.boannews.com/media/view.asp?idx=136008&page=2&kind=3
도구공간, 고대병원과 로봇실증사업 완료,https://www.boannews.com/media/view.asp?idx=136003&page=3&kind=3
[미리보는 SECON 2025] 제이알케이비젼,https://www.boannews.com/media/view.asp?idx=136007&page=3&kind=3
[미리보는 SECON 2025] 제노시스,https://www.boannews.com/media/view.asp?idx=136006&page=3&kind=3
[미리보는 SECON 2025] 인텔리빅스,https://www.boannews.com/media/view.asp?idx=136004&page=3&kind=3
[미리보는 SECON 2025] 엠폴,https://www.boannews.com/media/view.asp?idx=136000&page=3&kind=3
[미리보는 SECON 2025] 엠아이케이스캔,https://www.boannews.com/media/view.asp?idx=135999&page=3&kind=3
[미리보는 SECON 2025] 엠스톤,https://www.boannews.com/media/view.asp?idx=135998&page=3&kind=3
AI기본법·국가 망 보안 체계..‘CISO 포럼’서 심층 논의,https://www.boannews.com/media/view.asp?idx=135981&page=3&kind=1
[미리보는 SECON 2025] 엠디에스테크,https://www.boannews.com/media/view.asp?idx=135997&page=3&kind=1
[미리보는 SECON 2025] 엔유엘,https://www.boannews.com/media/view.asp?idx=135996&page=3&kind=3
[월드시큐 황.당.사] 텔레그램 악용하는 새 멀웨어 外,https://www.boannews.com/media/view.asp?idx=135988&page=3&kind=1
[미리보는 SECON 2025] 엔에스티정보통신,https://www.boannews.com/media/view.asp?idx=135995&page=3&kind=3
[미리보는 SECON 2025] 엔시드,https://www.boannews.com/media/view.asp?idx=135994&page=3&kind=3
[미리보는 SECON 2025] 엔슨소프트,https://www.boannews.com/media/view.asp?idx=135993&page=3&kind=3
[미리보는 SECON 2025] 에프에스티코리아,https://www.boannews.com/media/view.asp?idx=135992&page=3&kind=3
[미리보는 SECON 2025] 에프에스네트웍스,https://www.boannews.com/media/view.asp?idx=135991&page=3&kind=3
[미리보는 SECON 2025] 에이앤티글로벌,https://www.boannews.com/media/view.asp?idx=135990&page=3&kind=3
[오늘의 보안 영어] banner year,https://www.boannews.com/media/view.asp?idx=135989&page=3&kind=4
[미리보는 SECON 2025] 에이아이네트웍,https://www.boannews.com/media/view.asp?idx=135987&page=3&kind=3
[미리보는 SECON 2025] 에이디엠,https://www.boannews.com/media/view.asp?idx=135986&page=3&kind=3
[미리보는 SECON 2025] 에스코,https://www.boannews.com/media/view.asp?idx=135985&page=4&kind=3
[미리보는 SECON 2025] 에스카,https://www.boannews.com/media/view.asp?idx=135984&page=4&kind=3
[bnTV] 외국인은 ‘사자’.. 시장은 리스크에 ‘주춤’,https://www.boannews.com/media/view.asp?idx=135976&page=4&kind=3
[미리보는 SECON 2025] 에스에스티랩,https://www.boannews.com/media/view.asp?idx=135983&page=4&kind=3
[미리보는 SECON 2025] 알테크코리아,https://www.boannews.com/media/view.asp?idx=135982&page=4&kind=3
[미리보는 SECON 2025] 아이원코리아,https://www.boannews.com/media/view.asp?idx=135980&page=4&kind=3
안랩, ‘AI 바우처 지원사업’ 선정,https://www.boannews.com/media/view.asp?idx=135979&page=4&kind=3
[미리보는 SECON 2025] 아이에스앤로드테크,https://www.boannews.com/media/view.asp?idx=135978&page=4&kind=3
[미리보는 SECON 2025] 아이아이에스티,https://www.boannews.com/media/view.asp?idx=135977&page=4&kind=3
“잘 키운 ‘보안인재’ 해외 유출 골머리”..기술사회가 꼽은 보안 이슈,https://www.boannews.com/media/view.asp?idx=135974&page=4&kind=2
中 해커는 알고, 美 재무부는 몰랐던..‘제로데이’ 연쇄 공격,https://www.boannews.com/media/view.asp?idx=135975&page=4&kind=1
퓨쳐시스템, 양자보안 기술로 투자 유치,https://www.boannews.com/media/view.asp?idx=135973&page=4&kind=3
임시 저장된 ‘작성 중 메일’도 공격 도구,https://www.boannews.com/media/view.asp?idx=135972&page=4&kind=1
[카드뉴스] 취준생 두 번 죽이는 ‘채용 피싱 사이트’,https://www.boannews.com/media/view.asp?idx=135971&page=4&kind=1
[2025 보안 시장 백서] 사용자가 선호하는 데이터 보안 솔루션 기업은?,https://www.boannews.com/media/view.asp?idx=135970&page=4&kind=1
유니온커뮤니티, NEC에 ODM 공급..日 수출 채널 확보,https://www.boannews.com/media/view.asp?idx=135958&page=4&kind=3
이스트시큐리티, ‘이스트 파트너 킥오프 2025’ 성료,https://www.boannews.com/media/view.asp?idx=135967&page=4&kind=3
“선관위 투입 민간팀, KISA”..이 원장, “사실 아냐”,https://www.boannews.com/media/view.asp?idx=135969&page=4&kind=1
행안부, 공공 정보시스템 ‘클라우드’ 전환 추진,https://www.boannews.com/media/view.asp?idx=135968&page=4&kind=2
포티넷, G 시리즈 차세대 방화벽 신제품 3종 출시,https://www.boannews.com/media/view.asp?idx=135964&page=4&kind=3
[월드시큐 황.당.사] 랜섬허브가 새로운 왕 外,https://www.boannews.com/media/view.asp?idx=135966&page=5&kind=1
[오늘의 보안 영어] there is no let up,https://www.boannews.com/media/view.asp?idx=135965&page=5&kind=1
北 라자루스, 특정 표적 ‘핀셋’ 타격,https://www.boannews.com/media/view.asp?idx=135963&page=5&kind=1
北 김수키, 거래처 업무메일 위장 공격,https://www.boannews.com/media/view.asp?idx=135962&page=5&kind=1
‘저작권 침해’ 사칭 악성메일, 윈도우 환경 정보 ‘탈탈’,https://www.boannews.com/media/view.asp?idx=135961&page=5&kind=1
VIGI, 고효율·내구성 겸비 ‘스마트 에너지 솔루션 태양광 패널’ 2종 출시,https://www.boannews.com/media/view.asp?idx=135955&page=5&kind=3
CGV 채용 사칭 피싱 사이트 발견..개인정보 탈취 주의,https://www.boannews.com/media/view.asp?idx=135960&page=5&kind=1
[배종찬의 보안 빅데이터] 북한 도발은 ‘핵’ 전쟁 아닌 ‘사이버 해킹’,https://www.boannews.com/media/view.asp?idx=135959&page=5&kind=1
네이버클라우드, 우본 DaaS 사업 수주.. ‘보안인증’ 승부,https://www.boannews.com/media/view.asp?idx=135946&page=5&kind=3
쎈느 카페, 클라우드 기반 네트워크 관리 시스템 ‘Omada Cloud Essential’ 도입,https://www.boannews.com/media/view.asp?idx=135954&page=5&kind=3
행안부, 재난문자 서비스 개선..중복·반복 발송 방지 등,https://www.boannews.com/media/view.asp?idx=135956&page=5&kind=2
개인정보 포함 영상 원본, 데이터 활용 가능해져..국조실 과제 추진,https://www.boannews.com/media/view.asp?idx=135957&page=5&kind=2
MS, 6시간 동안 ‘M365’ 서비스 장애 발생,https://www.boannews.com/media/view.asp?idx=135953&page=5&kind=1
쿠도, 강원랜드 CCTV 개선사업 수주,https://www.boannews.com/media/view.asp?idx=135944&page=5&kind=3
[월드시큐 황.당.사] 독스빈 사고로 13만6000 사용자 기록 유출 外,https://www.boannews.com/media/view.asp?idx=135952&page=5&kind=1
조달청, 보안기업 지슨 & 티제이원 등 60개 제품 우수조달물품 지정,https://www.boannews.com/media/view.asp?idx=135951&page=5&kind=2
“비번 공유≠사랑”  카스퍼스키, 디지털 愛 가이드,https://www.boannews.com/media/view.asp?idx=135950&page=5&kind=3
라바웨이브-이유, 디지털 범죄 피해자 지원,https://www.boannews.com/media/view.asp?idx=135949&page=5&kind=1
[부고] 유상임 과기정통부 장관, 빙모상,https://www.boannews.com/media/view.asp?idx=135948&page=5&kind=1
[오늘의 보안 영어] (tightly) choreographed,https://www.boannews.com/media/view.asp?idx=135947&page=5&kind=1
