Title,Link
[bnTV] 엎친 딥시크, 덮친 관세... 시장은 ‘덤덤’,https://www.boannews.com/media/view.asp?idx=135901&page=1&kind=3
[월드시큐 황.당.사] 구글, 일방적 인공지능 정책 변경 外,https://www.boannews.com/media/view.asp?idx=135899&page=1&kind=1
딥시크 뜨자, ‘新공격 기법’ 덩달아 기승,https://www.boannews.com/media/view.asp?idx=135893&page=1&kind=1
트럼프 관세 폭탄, 수출 보안기업 ‘빨간불’...제품가 인하 요구 불가피,https://www.boannews.com/media/view.asp?idx=135868&page=1&kind=2
[배종찬의 보안 빅데이터] 취준생 두 번 죽이는 채용 ‘피싱 사이트’,https://www.boannews.com/media/view.asp?idx=135895&page=1&kind=1
윈스-크리니티, SaaS 솔루션 협업 위해 MOU 체결,https://www.boannews.com/media/view.asp?idx=135892&page=1&kind=1
인공지능 개발자 대상 공급망 공격 시도 발견,https://www.boannews.com/media/view.asp?idx=135876&page=1&kind=1
[월드시큐 황.당.사] 애플 CPU 부채널 공격 外,https://www.boannews.com/media/view.asp?idx=135881&page=1&kind=1
[2025 안티바이러스 리포트] 기초가 튼튼해야 보안도 ‘탄탄’,https://www.boannews.com/media/view.asp?idx=135877&page=1&kind=3
국정원, “딥시크, 언어별 답변 상이”... 사용 유의,https://www.boannews.com/media/view.asp?idx=135875&page=1&kind=2
씨게이트, 차세대 전송 기술 지원 전문가용 SSD 출시,https://www.boannews.com/media/view.asp?idx=135906&page=1&kind=3
엑스게이트 작년 당기순이익, 합병비용 기저효과 1257.8% 폭등,https://www.boannews.com/media/view.asp?idx=135905&page=1&kind=3
S2W  “올 3분기 코스닥 상장”,https://www.boannews.com/media/view.asp?idx=135903&page=1&kind=3
오세훈 시장, “서울, 글로벌 AI 혁신도시 만든다”,https://www.boannews.com/media/view.asp?idx=135902&page=1&kind=2
안랩, 작년 매출 2606억·영업익277억...매출·영업익↑, 사우디 등서 매출 발생,https://www.boannews.com/media/view.asp?idx=135900&page=1&kind=3
아카라라이프, 생활밀착형 AIoT 제시,https://www.boannews.com/media/view.asp?idx=135898&page=1&kind=3
정보보호학회, ‘낯선 발신자’ 재확인해야...온라인 보안 가이드 발표,https://www.boannews.com/media/view.asp?idx=135889&page=1&kind=2
“기술유출 지속 증가, 法 개정 필요”...최수진 의원실 ‘공청회’ 개최,https://www.boannews.com/media/view.asp?idx=135894&page=1&kind=2
딥시크 보안, 심각한 구멍...역할극 공격 83% 성공,https://www.boannews.com/media/view.asp?idx=135884&page=1&kind=3
후지필름BI, 올해 주목받는 핵심 DX 전략 공유...관련 세미나 개최,https://www.boannews.com/media/view.asp?idx=135896&page=1&kind=1
지란지교 ‘새니톡스’로 교육행정시스템 무해화,https://www.boannews.com/media/view.asp?idx=135897&page=1&kind=3
과기정통부-교육부, ‘국가연구소’ 구축 사업 추진,https://www.boannews.com/media/view.asp?idx=135890&page=1&kind=2
시큐아이, ‘BLUEMAX ESP 내PC지키미’ 조달 등록,https://www.boannews.com/media/view.asp?idx=135888&page=1&kind=3
포티넷, 작년 총매출 59억6000만 달러 12.3% 증가,https://www.boannews.com/media/view.asp?idx=135887&page=1&kind=3
카스퍼스키, 新 악성코드 ‘스파크캣’ 발견,https://www.boannews.com/media/view.asp?idx=135879&page=1&kind=3
휴네시온, 작년 매출 369억·영업익 32억...매출은 늘고, 영업익은 감소,https://www.boannews.com/media/view.asp?idx=135880&page=1&kind=3
라온시큐어 “화이트해커 구독하세요”,https://www.boannews.com/media/view.asp?idx=135882&page=1&kind=3
아우토크립트, 일본 車보안 시장 진출,https://www.boannews.com/media/view.asp?idx=135883&page=1&kind=3
소방청, 2024 철도·항만시설 안전진단 결과 발표,https://www.boannews.com/media/view.asp?idx=135885&page=1&kind=2
모바일 주민증 발급, 오는 14일부터 단계적 전국 확대,https://www.boannews.com/media/view.asp?idx=135886&page=1&kind=2
티피링크, 와이파이7 지원 PCI-Express 무선 랜카드 2종 출시,https://www.boannews.com/media/view.asp?idx=135878&page=2&kind=3
‘포스트 딥시크’는 나!...60개 스타트업 경합,https://www.boannews.com/media/view.asp?idx=135874&page=2&kind=1
러 해커, ‘7zip’ 제로데이 통해 우크라 공략,https://www.boannews.com/media/view.asp?idx=135873&page=2&kind=1
[배종찬의 보안 빅데이터] AI 경쟁, 기술보다 ‘보안’이 우선,https://www.boannews.com/media/view.asp?idx=135872&page=2&kind=1
과기정통부, ‘국가 AI컴퓨팅 센터’ 설명회 개최...빅테크·투자사 관심,https://www.boannews.com/media/view.asp?idx=135870&page=2&kind=2
항공보안학회, 신임 회장에 소대섭 한서대 항공보안과 교수,https://www.boannews.com/media/view.asp?idx=135871&page=2&kind=3
[기자수첩] 자린고비의 첨단기술 실망記,https://www.boannews.com/media/view.asp?idx=135852&page=2&kind=1
[카드뉴스] 딥시크 금지령, 확산세,https://www.boannews.com/media/view.asp?idx=135869&page=2&kind=1
마음AI, 딥시크 기반 AI모델 제품 선뵈,https://www.boannews.com/media/view.asp?idx=135867&page=2&kind=3
[카드뉴스] 월레스와 그로밋이 던지는 보안 경고!,https://www.boannews.com/media/view.asp?idx=135865&page=2&kind=1
라온시큐어 작년 매출, ‘역대 최대’...흑자전환,https://www.boannews.com/media/view.asp?idx=135864&page=2&kind=1
[월드시큐 황.당.사] 딥시크 R1의 보안 성적 “처참” 外,https://www.boannews.com/media/view.asp?idx=135861&page=2&kind=1
[사람과 보안] 딥시크 충격파와 AI스파이 시대의 도래,https://www.boannews.com/media/view.asp?idx=135862&page=2&kind=1
“우주 사이버안보, 국제 공동대응 시급”...이재우 우주안보학회장,https://www.boannews.com/media/view.asp?idx=135854&page=2&kind=2
[오늘의 보안 영어] corner-case,https://www.boannews.com/media/view.asp?idx=135860&page=2&kind=1
파이어워처, AI로 산불 조기 진화 지원,https://www.boannews.com/media/view.asp?idx=135859&page=2&kind=3
HS 효성인포, 2025년 AX·ESG 혁신 전략 발표,https://www.boannews.com/media/view.asp?idx=135858&page=2&kind=1
LG CNS, 지난해 매출 5.9조·영업익 0.5조↑...역대 최대 실적,https://www.boannews.com/media/view.asp?idx=135857&page=2&kind=3
에프원시큐리티, CMMC 컨설팅 추진,https://www.boannews.com/media/view.asp?idx=135856&page=2&kind=3
