Title,Link
사이버 위기, 미리 훈련해야 제대로 대응한다,https://www.boannews.com/media/view.asp?idx=137704&page=1&kind=2
S2W-SK쉴더스, AI 보안 시장 협력 강화,https://www.boannews.com/media/view.asp?idx=137709&page=1&kind=3
LG유플러스 매장은 모두 ‘보안 전문’ 매장,https://www.boannews.com/media/view.asp?idx=137710&page=1&kind=1
[기자수첩] ‘양치기 소년’ 예스24, 진짜 위기는 랜섬웨어 아니라 잃어버린 신뢰,https://www.boannews.com/media/view.asp?idx=137705&page=1&kind=1
엠클라우독, 싱가포르 ‘ATxSG 2025’ 참가… 생성형 AI 솔루션 ‘아이채터’ 주목,https://www.boannews.com/media/view.asp?idx=137706&page=1&kind=3
[배종찬의 보안 빅데이터] 시총 1위 삼성전자, 보안 투자 순위는,https://www.boannews.com/media/view.asp?idx=137703&page=1&kind=3
IBM “한국 CEO들, AI 영향 체감하면서도 도입은 더 신중”,https://www.boannews.com/media/view.asp?idx=137702&page=1&kind=3
오픈소스 패키지 겨냥한 공급망 공격 50% 증가...개발자 신뢰 악용,https://www.boannews.com/media/view.asp?idx=137700&page=1&kind=3
[제145차 CISO 포럼] 김창오 IITP 정보보안 PM, “CISO도 R&D 과제 적극 목소리 내 달라”,https://www.boannews.com/media/view.asp?idx=137691&page=1&kind=2
[이재명 정부에 바란다-1] 국가 사이버보안 거버넌스 체계 개편 필요하다,https://www.boannews.com/media/view.asp?idx=137696&page=1&kind=2
다화테크놀로지, 새로운 모니터링 경험 제공하는 ‘HDCVI X Plus’ 출시,https://www.boannews.com/media/view.asp?idx=137713&page=1&kind=3
타포, 구형 가전도 스마트하게 사용하는 ‘Tapo H110 IR 리모컨’ 출시,https://www.boannews.com/media/view.asp?idx=137711&page=1&kind=3
시큐리온, 'OnAV' 7년 연속 AV-Comparatives 인증,https://www.boannews.com/media/view.asp?idx=137708&page=1&kind=3
에브리존, 일본 랜섬웨어 보안 시장 본격 공략...Interop Tokyo 2025 참가,https://www.boannews.com/media/view.asp?idx=137707&page=1&kind=3
이글루코퍼레이션, 보안관제 자동화 AI 특허 2건 취득,https://www.boannews.com/media/view.asp?idx=137699&page=1&kind=3
국가대표 파운데이션 모델 도전...이스트소프트, 자체 개발 ‘앨런 LLM’ 출시,https://www.boannews.com/media/view.asp?idx=137698&page=1&kind=3
A10 네트웍스, ‘인터롭 도쿄 2025’에서 AI ·고성능 보안 부문 ‘특별상’,https://www.boannews.com/media/view.asp?idx=137697&page=1&kind=3
신동규 한국인터넷정보학회 회장 “IT 기술의 시작은 국방, 첨단 전략산업 연구 강화할 것”,https://www.boannews.com/media/view.asp?idx=137693&page=1&kind=6
특허청, ‘동티모르 특허청’ 설립 돕는다,https://www.boannews.com/media/view.asp?idx=137695&page=1&kind=2
[SKT 해킹 사태] 자체 조사선 CDR 유출 없어...정부 발표 기다리는 중,https://www.boannews.com/media/view.asp?idx=137694&page=1&kind=1
AI 시대, Apple 기기의 보안과 생산성 ‘Jamf Nation Live Seoul 2025’에서 해답 찾는다,https://www.boannews.com/media/view.asp?idx=137692&page=1&kind=3
지란지교시큐리티, 국내 메일보안 최초 클라우드 서비스 보안인증(CSAP) 획득,https://www.boannews.com/media/view.asp?idx=137690&page=1&kind=3
티오리한국, 국제 정보보호 표준 ‘ISO/IEC 27001:2022’ 인증 획득,https://www.boannews.com/media/view.asp?idx=137689&page=1&kind=3
하이크비전, AI LMM 탑재 텍스트 검색 가능한 영상 감시 솔루션 ‘아큐시크 NVR’ 출시,https://www.boannews.com/media/view.asp?idx=137688&page=1&kind=3
[예스24 해킹] 예스24, 랜섬웨어 일주일 만에 대표이사 사과...1차 보상안 공지,https://www.boannews.com/media/view.asp?idx=137687&page=1&kind=1
개인정보전문가협회, 개인정보보호 컴플라이언스 마스터 과정 성료,https://www.boannews.com/media/view.asp?idx=137686&page=1&kind=3
소프트캠프만의 차별화된 비즈니스 제시한 ‘솔루션 데이 2025’,https://www.boannews.com/media/view.asp?idx=137684&page=1&kind=3
