Title,Link
유로폴, AMD, 커리어넷 해킹 ‘인텔브로커’ 미국에서 기소돼...2500만달러 피해 유발,https://www.boannews.com/media/view.asp?idx=137875&page=2&kind=1
[예스24 해킹] 당해버린 랜섬웨어, ‘협상’ 불가피 하다면?...“사후 대응 관건”,https://www.boannews.com/media/view.asp?idx=137863&page=2&kind=1
파이오링크, 日에 보안스위치·AP 3000대 공급...차량 정비시장 공략,https://www.boannews.com/media/view.asp?idx=137872&page=2&kind=3
배경훈 과기정통부 장관 후보 “전반적 국가 사이버보안 체계 살피겠다”,https://www.boannews.com/media/view.asp?idx=137873&page=2&kind=2
펜타시큐리티, 국가서비스대상 사이버보안 부문 2년 연속 수상,https://www.boannews.com/media/view.asp?idx=137869&page=3&kind=3
지니언스, 정보보호 자율 공시 시행…“보안 투명성 강화 및 사이버안보 기여”,https://www.boannews.com/media/view.asp?idx=137871&page=3&kind=3
LG U+, 보안 앰배서더로 프로파일러 권일용 교수 선정,https://www.boannews.com/media/view.asp?idx=137867&page=3&kind=1
조달청, 2024년 공공조달 규모 전년대비 7.9% 증가한 225조 1,000억원,https://www.boannews.com/media/view.asp?idx=137866&page=3&kind=2
[카드뉴스] 이스라엘 VS 이란 사이버전쟁의 실체 ‘모두가 타깃이 될 수 있다’,https://www.boannews.com/media/view.asp?idx=137865&page=3&kind=1
KOHSIA·KICT·숭실대 AI 융합연, 공동 세미나 개최,https://www.boannews.com/media/view.asp?idx=137864&page=3&kind=3
매년 6월 26일, ‘변리사의 날’...변리사회, 첫 기념식 개최,https://www.boannews.com/media/view.asp?idx=137862&page=3&kind=1
차세대 보안리더 양성 ‘BoB’ 14기 발대식 개최...교육생 172명 임명,https://www.boannews.com/media/view.asp?idx=137861&page=3&kind=1
인텔리빅스-엠젠솔루션, 차세대 화재관제 AI 개발 MOU 체결,https://www.boannews.com/media/view.asp?idx=137860&page=3&kind=3
이제 공공기관 개인정보법 위반하면 처분 내용 전면 공개,https://www.boannews.com/media/view.asp?idx=137858&page=3&kind=2
[IP포토] 표준특허, “참 잘했어요!”...우수 참여기관 수상,https://www.boannews.com/media/view.asp?idx=137859&page=3&kind=2
ICTK 보안 칩, 우주 공간에서도 끄떡 없다,https://www.boannews.com/media/view.asp?idx=137857&page=3&kind=3
랜섬웨어 보안 솔루션 기업 체크멀, 전국 영업 파트너 모집,https://www.boannews.com/media/view.asp?idx=137856&page=3&kind=3
신종 ‘파일픽스’ 공격 발견…윈도우 탐색기로 악성 명령 은밀 실행,https://www.boannews.com/media/view.asp?idx=137854&page=3&kind=1
맨날 배달 주문했는데...개인정보위, 고객정보 홈페이지에 노출한 파파존스 조사 나서,https://www.boannews.com/media/view.asp?idx=137853&page=3&kind=1
회원 2만명 주민등록번호 유출된 한국인정지원센터 과징금 맞아,https://www.boannews.com/media/view.asp?idx=137852&page=3&kind=1
S2W, AI·보안 전문가들 실무 인사이트 공유...‘SIS 2025: MOVEMENT’ 개최,https://www.boannews.com/media/view.asp?idx=137850&page=3&kind=3
하오 양 스플렁크 부사장 “회복탄력성 위해 데이터 계층화·재사용·연합 중요”,https://www.boannews.com/media/view.asp?idx=137848&page=3&kind=3
“AI독립, 국가 안보에 중요” …서강대, 산·학·연 국방 소버린 AI 전략 제시,https://www.boannews.com/media/view.asp?idx=137847&page=3&kind=2
LG유플러스, AI로 딥페이크 보이스피싱 잡는다,https://www.boannews.com/media/view.asp?idx=137849&page=3&kind=1
네티스, 와이파이6 공유기 ‘MEX601V2’ 출시,https://www.boannews.com/media/view.asp?idx=137846&page=4&kind=3
SK 쉴더스, AI 기반 ‘선제 차단’ 보안 전략 제시‘,https://www.boannews.com/media/view.asp?idx=137843&page=4&kind=3
핀텔, AI 기반 혁신 솔루션으로 도시 안전과 효율 동시 실현,https://www.boannews.com/media/view.asp?idx=137845&page=4&kind=3
특허심판원, 소송보단 ‘대화’...합의로 반도체 IP분쟁 해결해,https://www.boannews.com/media/view.asp?idx=137844&page=4&kind=1
‘저작권법 위반 통지’ 메일, 겁먹고 클릭하면 정보 ‘탈탈’,https://www.boannews.com/media/view.asp?idx=137842&page=4&kind=1
“천년 고도 경주서 정보보호 미래 찾아”...한국정보보호학회 하계 학술대회 성료,https://www.boannews.com/media/view.asp?idx=137838&page=4&kind=1
서강대학교, 국방 AI 기술 미래 선도 위한 워크숍 개최,https://www.boannews.com/media/view.asp?idx=137837&page=4&kind=2
파수 “연평균 20% 성장, 주주환원 30%”... 기업가치 제고 계획 발표,https://www.boannews.com/media/view.asp?idx=137836&page=4&kind=3
사이버다임, 정보보호 지원사업 참여...SECaaS 비즈니스 가속화,https://www.boannews.com/media/view.asp?idx=137833&page=4&kind=3
구글·애플 공식 앱스토어서 변종 앱 버젓이 유통…암호화폐 정보 노린다,https://www.boannews.com/media/view.asp?idx=137835&page=4&kind=1
군복에 센서 회로 인쇄...데이터 수집해 맞춤 훈련,https://www.boannews.com/media/view.asp?idx=137834&page=4&kind=2
지란지교소프트, ‘보안인과 法’ 주제로 세미나 진행,https://www.boannews.com/media/view.asp?idx=137828&page=4&kind=3
박상원 금융보안원장, ‘인구문제 인식개선 캠페인’ 동참,https://www.boannews.com/media/view.asp?idx=137831&page=4&kind=2
글로벌 양자 생태계 사실표준화 논의 서울에서 본격화...퀸사 1차 총회 개최,https://www.boannews.com/media/view.asp?idx=137832&page=4&kind=2
“산업보안 콘텐츠 발굴합니다”...2025년 산업보안 공모전 시작,https://www.boannews.com/media/view.asp?idx=137829&page=4&kind=2
100년 역사 독일 냅킨 기업, 랜섬웨어 공격에 파산 위기,https://www.boannews.com/media/view.asp?idx=137822&page=4&kind=1
S2W, 코스닥 상장 예비심사 통과,https://www.boannews.com/media/view.asp?idx=137827&page=4&kind=3
한국정보보호학회 공급망보안연구회, ‘2025 공급망보안워크숍’ 개최,https://www.boannews.com/media/view.asp?idx=137826&page=4&kind=3
[카드뉴스] 6·25 전쟁 75주년, 진짜 전쟁은 ‘디지털’에서 벌어지고 있다,https://www.boannews.com/media/view.asp?idx=137825&page=4&kind=1
SKT 해킹발 ‘모의해킹’ 수요 급증…“인력 부족해”,https://www.boannews.com/media/view.asp?idx=137824&page=4&kind=1
원우이엔지, 국제 방폭 인증 교육 실시,https://www.boannews.com/media/view.asp?idx=137823&page=5&kind=3
개인정보위원장, “SKT 조사 윤곽 잡혀...수개월 내 처분”,https://www.boannews.com/media/view.asp?idx=137821&page=5&kind=2
KTnC, 키오스크 등에 적용할 수 있는 원거리 홍채인식 모듈 출시,https://www.boannews.com/media/view.asp?idx=137820&page=5&kind=3
한국 해커팀 ‘헬소닉팬클럽’, 프랑스 해킹 대회 학생부 우승,https://www.boannews.com/media/view.asp?idx=137813&page=5&kind=3
누구나 전문지식 없이도 AI 팀원 둔다...스노우플레이크 ‘데이터 민주화’ 기술 무엇?,https://www.boannews.com/media/view.asp?idx=137819&page=5&kind=3
양자 보안 시대 성큼...퀀텀 코리아 2025 개막,https://www.boannews.com/media/view.asp?idx=137818&page=5&kind=2
와이키키소프트, 양자내성암호용 라이브러리 ‘Ypqc’ 출시,https://www.boannews.com/media/view.asp?idx=137817&page=5&kind=3
이스트시큐리티, 정보보호의 달 맞아 '숨은 보안 고수 찾기' 이벤트 실시,https://www.boannews.com/media/view.asp?idx=137816&page=5&kind=3
“실천하는 ESG” 서울시의회서 해법 찾다… 2025 ESG서울포럼 개최,https://www.boannews.com/media/view.asp?idx=137815&page=5&kind=2
이달 초 삼성페이 오류, 수원 데이터센터 방화벽 문제 때문,https://www.boannews.com/media/view.asp?idx=137814&page=5&kind=1
제조 기업 4곳 중 1곳, “OT 보안 뚫려 500만달러 이상 피해”...카스퍼스키 보고서,https://www.boannews.com/media/view.asp?idx=137812&page=5&kind=3
포티넷코리아, 클라우드 네이티브 애플리케이션 통합 보안 플랫폼 ‘레이스워크 포티CNAPP’ 업데이트,https://www.boannews.com/media/view.asp?idx=137811&page=5&kind=3
[배종찬의 보안 빅데이터] 이스라엘-이란 휴전 합의했지만...‘사이버’ 전쟁은 끝나지 않았다,https://www.boannews.com/media/view.asp?idx=137809&page=5&kind=1
[IP포토] 특허청, 제15회 국제 지식재산 보호 컨퍼런스 개최,https://www.boannews.com/media/view.asp?idx=137810&page=5&kind=2
[인사] 특허청,https://www.boannews.com/media/view.asp?idx=137808&page=5&kind=2
기원테크, N²SF·AI 위협 대응 등 하반기 전략 가동,https://www.boannews.com/media/view.asp?idx=137807&page=5&kind=3
씨큐비스타, 생성형 AI 기반 TTP 자동화 보안 엔진 '센티널AI' 개발,https://www.boannews.com/media/view.asp?idx=137806&page=5&kind=3
‘ㅋㅋㅋ’ 아니라 서양식 이모지 쓴 댓글, AI가 쓴 거 딱 걸렸네,https://www.boannews.com/media/view.asp?idx=137805&page=5&kind=2
에브리존, ‘화이트디펜더’ 인니 금융사에 공급 수주,https://www.boannews.com/media/view.asp?idx=137802&page=5&kind=3
ICTK, 픽셀플러스와 라이센싱...자율주행·이미지 센서 분야 진출,https://www.boannews.com/media/view.asp?idx=137803&page=5&kind=3
