Title,Link
최근 발견된 삼성전자 ‘채용 피싱 사이트 vs. 실제 채용 사이트’ 구별법,https://www.boannews.com/media/view.asp?idx=135552&page=3&kind=1
[한 주를 관통하는 보안 소식] 2025년 1월 2주차, “트롤”,https://www.boannews.com/media/view.asp?idx=135551&page=3&kind=1
결제 이체 알림? 무역·물류 기업 노린 피싱 메일 유포,https://www.boannews.com/media/view.asp?idx=135550&page=3&kind=1
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=135549&page=3&kind=1
파이오링크, 고용부·중기부 주관 2025년 ‘청년일자리 강소기업’ 선정,https://www.boannews.com/media/view.asp?idx=135548&page=3&kind=3
안랩, 데이터바우처 사업 선정... 6년 연속,https://www.boannews.com/media/view.asp?idx=135545&page=3&kind=3
국내 보안시장 집중 분석 ‘2025 보안 시장 백서’ 출간,https://www.boannews.com/media/view.asp?idx=135546&page=3&kind=3
[퀴즈 이·보·소] 하이트진로가 당한 사이버 공격은?,https://www.boannews.com/media/view.asp?idx=135542&page=3&kind=1
[사람과 보안] 인텔리전스와 스파이의 차이를 아시나요,https://www.boannews.com/media/view.asp?idx=135543&page=3&kind=6
AI 보안관제, 공격 분석에 대응까지 원샷!,https://www.boannews.com/media/view.asp?idx=135470&page=3&kind=3
조달청, 혁신제품 발굴부터 판로 개척과 해외 진출까지 원스톱 지원,https://www.boannews.com/media/view.asp?idx=135540&page=3&kind=2
[배종찬의 보안 빅데이터] 천당과 지옥을 오가는 AI(인공지능) 보안,https://www.boannews.com/media/view.asp?idx=135541&page=4&kind=6
[보안 협·단체장 신년 인터뷰-5]  한국영상정보연구조합 황정현 수석부이사장,https://www.boannews.com/media/view.asp?idx=135459&page=4&kind=3
[보안 역사, 그날] 2002년 1월 15일, 빌 게이츠의 메모와 이스터에그,https://www.boannews.com/media/view.asp?idx=135537&page=4&kind=1
[영화&보안] <월레스와 그로밋>, 편리는 우리의 친구가 아니야,https://www.boannews.com/media/view.asp?idx=135538&page=4&kind=6
NIA, 중소·벤처기업 대상 ‘빅데이터 분석 지원 사례집’ 발간,https://www.boannews.com/media/view.asp?idx=135539&page=4&kind=2
티피링크 VIGI, 태양광 시스템 컨트롤러 2종 국내 출시,https://www.boannews.com/media/view.asp?idx=135535&page=4&kind=3
[오늘의 보안 영어] close in on,https://www.boannews.com/media/view.asp?idx=135536&page=4&kind=1
[현장탐방] ‘CCTV 구축 및 운영 실무’ 교육 현장 엿보기,https://www.boannews.com/media/view.asp?idx=135320&page=4&kind=3
[인터뷰] 티피링크 윤경선 기업영업팀 상무 “VIGI의 인기와 경쟁력, 2025년에도 쭉 이어나갈 것”,https://www.boannews.com/media/view.asp?idx=135312&page=4&kind=3
사회기반시설 보호에 진심인 미국 정부가 발표한 인공지능 가이드라인,https://www.boannews.com/media/view.asp?idx=134498&page=4&kind=2
세이퍼존 ‘세이퍼존 USB’, 국정원 인증 연장 및 다중OS 지원 확대,https://www.boannews.com/media/view.asp?idx=135534&page=4&kind=3
스피어AX, 대신정보통신과 인공지능 솔루션 공급 총판 계약 체결,https://www.boannews.com/media/view.asp?idx=135533&page=4&kind=3
인텔리빅스, CES 2025에서 ‘Gen AMS’ 공개,https://www.boannews.com/media/view.asp?idx=135532&page=4&kind=3
기존의 틀을 깨트린 새 피싱 기법 발견케 한 ‘어머님 걱정’,https://www.boannews.com/media/view.asp?idx=135531&page=4&kind=1
LG CNS 현신균 대표, “AI와 DX 접목해 글로벌 DX 시장 선도 위해 도약할 것”,https://www.boannews.com/media/view.asp?idx=135530&page=4&kind=3
ETRI, 데이터 주권강화 차세대 보안기술 개발,https://www.boannews.com/media/view.asp?idx=135527&page=4&kind=2
지니언스, 제로트러스트 솔루션 10여곳 글로벌 수주,https://www.boannews.com/media/view.asp?idx=135526&page=4&kind=3
아우토크립트-안리츠, 차량 보안 테스트 간소화 나선다,https://www.boannews.com/media/view.asp?idx=135525&page=4&kind=3
안랩, 글로벌 보안제품 평가 GOOD!,https://www.boannews.com/media/view.asp?idx=135524&page=4&kind=3
이글루코퍼레이션, 과기부-KISA ‘AI 보안 육성사업’ 우수사례 기업 선정,https://www.boannews.com/media/view.asp?idx=135521&page=4&kind=3
개인정보 털린 법원행정처... 2억700만원 과징금 폭탄,https://www.boannews.com/media/view.asp?idx=135529&page=5&kind=2
[카드뉴스] 사내 랜섬웨어 예방 체크리스트,https://www.boannews.com/media/view.asp?idx=135528&page=5&kind=1
CES, AI 몰입엔 ‘보안’이 최고,https://www.boannews.com/media/view.asp?idx=135522&page=5&kind=5
과기정통부, CES 2025서 기술사업화 등 현장 목소리 청취,https://www.boannews.com/media/view.asp?idx=135519&page=5&kind=2
[2025년 보안 핫 키워드-6] 엣지 디바이스 확산,https://www.boannews.com/media/view.asp?idx=135403&page=5&kind=5
[오늘의 보안 영어] on his mind,https://www.boannews.com/media/view.asp?idx=135523&page=5&kind=1
[보안 협·단체장 신년 인터뷰-4]  한국첨단안전산업협회 이성진 회장,https://www.boannews.com/media/view.asp?idx=135458&page=5&kind=3
과기정통부, CES 2025에서 디지털 청년 인재의 글로벌 도전과 성장 격려,https://www.boannews.com/media/view.asp?idx=135518&page=5&kind=2
KAIST 스타트업 플루이즈, ‘앱 자율실행’ AI 에이전트 기술 개발,https://www.boannews.com/media/view.asp?idx=135517&page=5&kind=5
합성데이터, 개인정보 보호와 데이터 부족 문제 해결의 열쇠,https://www.boannews.com/media/view.asp?idx=135513&page=5&kind=1
[bnTV] 가장 많이 위반하는 개인정보보호법은? ‘파기 단계’ 제대로 알아야,https://www.boannews.com/media/view.asp?idx=135515&page=5&kind=2
티피링크, CES 2025에서 차세대 스마트홈 및 Wi-Fi 7 기술 선보여,https://www.boannews.com/media/view.asp?idx=135514&page=5&kind=3
샤오미, ‘샤오미코리아’ 설립... 신제품 공개하며 본격 현지화,https://www.boannews.com/media/view.asp?idx=135512&page=5&kind=3
SGA솔루션즈 최영철 대표, “제로트러스트, 민간에서 실제 사업화가 돼야”,https://www.boannews.com/media/view.asp?idx=135516&page=5&kind=6
고용노동부, 2024년 올해의 산업안전감독관 6인 선정,https://www.boannews.com/media/view.asp?idx=135511&page=5&kind=2
과기정통부 유상임 장관, SK C&C 판교 데이터센터에서 안전관리 현황 점검,https://www.boannews.com/media/view.asp?idx=135510&page=5&kind=2
[2025년 보안 핫 키워드-5] 융합보안 시장 본격화,https://www.boannews.com/media/view.asp?idx=135402&page=5&kind=5
[보안 협·단체장 신년 인터뷰-3] 한국재난안전산업협회 서병일 회장,https://www.boannews.com/media/view.asp?idx=135457&page=5&kind=3
이테크시스템, “보안 사업 강화로 2025년 한 단계 더 도약할 것”,https://www.boannews.com/media/view.asp?idx=135456&page=5&kind=3
조달청, 불공정 조달행위 신고 건수 역대 최고 기록,https://www.boannews.com/media/view.asp?idx=135509&page=5&kind=2
