Title,Link
BoB 저력 다시 한번, ‘Prison Break’ 국제 해킹 대회 2위 기록,https://www.boannews.com/media/view.asp?idx=137289&page=1&kind=1
“기업 보안 최대 취약점 이메일”...기원테크, 국제 표준 기반 보안 솔루션으로 막는다,https://www.boannews.com/media/view.asp?idx=137288&page=1&kind=3
[PIS FAIR 2025 미리보기] 위즈코리아,https://www.boannews.com/media/view.asp?idx=137252&page=1&kind=3
[SKT 해킹 사태][긴급좌담회] SKT 사태, 전말과 시사점...중국발 공격, 암호화 득실 등 의견 팽팽,https://www.boannews.com/media/view.asp?idx=137285&page=1&kind=1
지방세 26개 항목, 보이스아이가 읽어 드립니다,https://www.boannews.com/media/view.asp?idx=137286&page=1&kind=3
한국 얼굴에 강하다...샌즈랩 딥페이크 탐지 ‘페이트체크 2.0’ 업데이트,https://www.boannews.com/media/view.asp?idx=137283&page=1&kind=3
[SKT 해킹 사태] 유심 교체 ‘찾아가는 서비스’ 19일 시작,https://www.boannews.com/media/view.asp?idx=137282&page=1&kind=1
[이슈칼럼] 대한민국 항공보안, 이제는 세계와 경험을 공유할 때,https://www.boannews.com/media/view.asp?idx=137281&page=1&kind=4
안랩, 2025년 첫 ‘지능형 위협 방어 테스트’ 만점 받아,https://www.boannews.com/media/view.asp?idx=137280&page=1&kind=3
[SKT 해킹 사태] 파이오링크 BPF도어 점검 도구, 1만 다운로드 돌파,https://www.boannews.com/media/view.asp?idx=137279&page=1&kind=1
[PIS FAIR 2025 미리보기] 지란지교데이터,https://www.boannews.com/media/view.asp?idx=137253&page=1&kind=3
대선 앞두고 사이버 위기 경보  ‘관심→주의’ 상향,https://www.boannews.com/media/view.asp?idx=137278&page=1&kind=2
[배종찬의 보안 빅데이터] 큰 손도 까무러칠 명품 ‘디올’의 해킹 사태,https://www.boannews.com/media/view.asp?idx=137277&page=1&kind=1
금보원, AI-디지털 자산 중심으로 자문위원회 물갈이,https://www.boannews.com/media/view.asp?idx=137275&page=1&kind=2
옥타코, FIDO2 솔루션으로 동남아 사업 가속화,https://www.boannews.com/media/view.asp?idx=137276&page=1&kind=3
AI교과서, 개인정보 처리 ‘미흡’...개보위, 시정·개선 권고,https://www.boannews.com/media/view.asp?idx=137274&page=1&kind=2
명정보기술-ACE Lab, 2025 데이터 복구& 디지털 포렌식 컨퍼런스 개최,https://www.boannews.com/media/view.asp?idx=137267&page=1&kind=3
노르마, 리게티 84큐비트 양자컴퓨터 클라우드 서비스 제공,https://www.boannews.com/media/view.asp?idx=137272&page=1&kind=3
[SKT 해킹 사태] [사람과 보안] SKT 사건, 단순 사고인가 북한 ‘사이버 침투전’인가,https://www.boannews.com/media/view.asp?idx=137273&page=1&kind=1
의료영상 위변조 검증 솔루션으로 보험 사기 막는다,https://www.boannews.com/media/view.asp?idx=137271&page=1&kind=3
국내 판매자 얼굴 정보 수집...테무, 과징금 13억 6900만원,https://www.boannews.com/media/view.asp?idx=137270&page=1&kind=1
누리랩 “가짜 여행 이벤트 주의보”...현금화 미끼 피싱 사기,https://www.boannews.com/media/view.asp?idx=137268&page=1&kind=1
인스피언 보안 관제 솔루션, GS 인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=137269&page=1&kind=3
안랩, 맞춤형 보안전략 제시...산업별 세미나 개최,https://www.boannews.com/media/view.asp?idx=137266&page=1&kind=3
