Title,Link
[에디터 대담] 김창오 신임 과기정통부 정보보안 PM “민간 경험 접목...임기내 보안유니콘 꼭 발굴”,https://www.boannews.com/media/view.asp?idx=137317&page=4&kind=2
[SKT 해킹 사태] 경찰, SKT ‘신고 지연’ 수사 본격 착수,https://www.boannews.com/media/view.asp?idx=137320&page=4&kind=1
중앙대, 라온시큐어-빗썸-KB국민은행 가상자산 사이버안보 기술 협력,https://www.boannews.com/media/view.asp?idx=137314&page=4&kind=2
SGA솔루션즈, 3년 연속 정부 ‘제로트러스트 시범 사업’ 주관사 선정,https://www.boannews.com/media/view.asp?idx=137312&page=4&kind=2
세이퍼존 DLP, 해킹 사고 대응 솔루션으로 부각,https://www.boannews.com/media/view.asp?idx=137319&page=4&kind=3
AI 에이전트 제대로 활용하려면 보안 필수...MS ‘빌드 2025’에서 선보인 보안 솔루션,https://www.boannews.com/media/view.asp?idx=137318&page=4&kind=3
라온피플, 2025 AI EXPO 통해 추론형 AI 에이전트 ‘하이펜’ 공개,https://www.boannews.com/media/view.asp?idx=137316&page=4&kind=3
“AI 시대, 개인정보 보호와 혁신이 상생해야”...개인정보법학회 세미나 개최,https://www.boannews.com/media/view.asp?idx=137315&page=4&kind=3
수천 대 서버 방화벽 한번에 관리...AMC랩, 악성코드 횡적 이동 차단,https://www.boannews.com/media/view.asp?idx=137313&page=4&kind=1
염재호 국가AI위원회 부위원장 “韓 석권한 제조업, AI 없이는 경쟁력 약화”...CISO 포럼서 밝혀,https://www.boannews.com/media/view.asp?idx=137310&page=4&kind=2
한국기업보안, ‘인증서 유효기간 단축’ 대응전략 공개... 첫 웨비나 개최,https://www.boannews.com/media/view.asp?idx=137311&page=4&kind=3
누리랩, 정부 지원 ‘딥페이크 탐지 시스템’ 개발,https://www.boannews.com/media/view.asp?idx=137309&page=4&kind=2
LGU+, KCA에 ‘PQC’ 적용,https://www.boannews.com/media/view.asp?idx=137308&page=4&kind=3
시놀로지, 프라이빗 클라우드 솔루션 내놔...가정 및 소규모 팀 최적,https://www.boannews.com/media/view.asp?idx=137307&page=4&kind=3
파수, 북미서 AI 데이터 인프라 전략 전파,https://www.boannews.com/media/view.asp?idx=137306&page=5&kind=3
[SKT 해킹 사태] 고객·유심·단말 모두 검증하는 ‘FDS 2.0’, 모든 고객 적용,https://www.boannews.com/media/view.asp?idx=137305&page=5&kind=1
스피어AX, 금융위 혁신 프리미어 1000 기업에 선정,https://www.boannews.com/media/view.asp?idx=137304&page=5&kind=3
[SKT 해킹 사태] [일문일답] “FDS 고도화...복제폰 불가”,https://www.boannews.com/media/view.asp?idx=137303&page=5&kind=1
[SKT 해킹 사태] IMEI 유출에도, 복제폰 걱정 없다는데...대선 주자들도 뿔나,https://www.boannews.com/media/view.asp?idx=137302&page=5&kind=1
[PIS FAIR 2025 미리보기] 피앤피시큐어,https://www.boannews.com/media/view.asp?idx=137259&page=5&kind=1
[PIS FAIR 2025 미리보기] 컴트루테크놀로지,https://www.boannews.com/media/view.asp?idx=137254&page=5&kind=3
이스트소프트, “긴 다큐멘터리, 짧은 쇼츠 모두 AI 자동 더빙 적용 가능”,https://www.boannews.com/media/view.asp?idx=137301&page=5&kind=3
이노뎁, 부산 솔루션 세미나 성료,https://www.boannews.com/media/view.asp?idx=137300&page=5&kind=3
SK쉴더스, AWS 레벨 1 MSSP 획득...클라우드 보안 역량 입증,https://www.boannews.com/media/view.asp?idx=137299&page=5&kind=3
[SKT 해킹 사태] 스마트폰 고유정보 IMEI도 유출 가능성...민관조사단 2차 결과 발표,https://www.boannews.com/media/view.asp?idx=137297&page=5&kind=1
큐냅, Tech Summit 2025 통해 AI 대응 차세대 솔루션 공개,https://www.boannews.com/media/view.asp?idx=137298&page=5&kind=3
아메이투라, 통합 보안 소프트웨어 플랫폼 ‘Armatura One Ver3’ GS 인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=137296&page=5&kind=3
유상임 과기정통부 장관, 美 FCC와 통신사 해킹 공조 논의,https://www.boannews.com/media/view.asp?idx=137295&page=5&kind=2
SKT ‘고객신뢰위원회’ 출범...내주 찾아가는 유심 교체 진행,https://www.boannews.com/media/view.asp?idx=137294&page=5&kind=1
LG유플러스, 고객 피싱 피해 예방 앞장,https://www.boannews.com/media/view.asp?idx=137292&page=5&kind=3
CCTV 범죄 예방 효과 확인...범죄자 3명 중 1명 발길 돌려,https://www.boannews.com/media/view.asp?idx=137291&page=5&kind=3
아디다스, “해킹 공격 당해...고객 이메일, 전화번호 등 유출 가능성”,https://www.boannews.com/media/view.asp?idx=137293&page=5&kind=1
ICTK, “210억원 전환사채 발행...보안 유망 기업 투자”,https://www.boannews.com/media/view.asp?idx=137290&page=5&kind=3
BoB 저력 다시 한번, ‘Prison Break’ 국제 해킹 대회 2위 기록,https://www.boannews.com/media/view.asp?idx=137289&page=5&kind=1
