Title,Link
아태지역 전자조달 네트워크 총회, 필리핀 마닐라에서 개막,https://www.boannews.com/media/view.asp?idx=135070&page=1&kind=3
한국후지필름BI, 중소기업 성장 전략 세미나 개최,https://www.boannews.com/media/view.asp?idx=135064&page=1&kind=3
LG유플러스, 서울시내 1인 가구 대상 보이스피싱 예방 특강,https://www.boannews.com/media/view.asp?idx=135063&page=2&kind=3
조달청-국가기술표준원, 서비스 공공조달 확산위한 업무협약 체결,https://www.boannews.com/media/view.asp?idx=135048&page=2&kind=2
지재위, 제2회 ‘지식재산 보호정책 협의회’ 개최,https://www.boannews.com/media/view.asp?idx=135046&page=2&kind=2
시큐아이, 고용노동부 ‘일·생활 균형 우수기업’ 선정,https://www.boannews.com/media/view.asp?idx=135066&page=2&kind=3
티피링크 Omada Pro, 연말맞이 나라장터 종합쇼핑몰 15% 할인 프로모션 진행,https://www.boannews.com/media/view.asp?idx=135047&page=2&kind=3
파이오링크, 웹방화벽 공공조달 위해 태광네트웍정보와 총판 체결,https://www.boannews.com/media/view.asp?idx=135044&page=2&kind=3
사이냅 문서뷰어 2025, GS인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=135043&page=2&kind=3
파수, 보안성 및 UX 개선한 ‘랩소디 에코 클라우드’ 기념 프로모션 진행,https://www.boannews.com/media/view.asp?idx=135042&page=2&kind=3
AI 검색 엔진 서비스 ‘앨런’ 정식 출시... 퍼플렉시티, 서치GPT와 본격 경쟁,https://www.boannews.com/media/view.asp?idx=135041&page=2&kind=3
CCTV 중기간 경쟁제품 재지정, 국산 보안제품 제조기반 탄력 전망,https://www.boannews.com/media/view.asp?idx=135040&page=2&kind=3
[인사] 개인정보보호위원회, 과장급 전보,https://www.boannews.com/media/view.asp?idx=135039&page=2&kind=2
스냅태그, THE VISTA 포럼에서 비가시성 워터마크 기술과 전망 발표,https://www.boannews.com/media/view.asp?idx=135038&page=2&kind=3
누리랩, “연말연시 피싱에 주의하세요”... 2025년 초까지 주의 요망,https://www.boannews.com/media/view.asp?idx=135037&page=2&kind=3
엠클라우독, 문서중앙화 솔루션 ‘클라우독’ 매뉴얼 웹사이트 정식 오픈,https://www.boannews.com/media/view.asp?idx=135036&page=2&kind=3
2025년, ‘신기술 악용 사이버 공격’ vs ‘통합가시성 확보 보안’ 맞붙는다,https://www.boannews.com/media/view.asp?idx=135035&page=2&kind=3
아우토크립트, 글로벌 자동차 보안 혁신 기술로 유럽 최고 영예 수상,https://www.boannews.com/media/view.asp?idx=135034&page=2&kind=3
휴네시온, AI 의료보안 센서 기술 관련 특허 등록 완료,https://www.boannews.com/media/view.asp?idx=135033&page=2&kind=3
IBM, 생성형 AI 시대 위한 차세대 공동 패키지형 광학기술 발표,https://www.boannews.com/media/view.asp?idx=135032&page=2&kind=3
생성형 AI를 활용한 혁신적인 금융서비스 제공이 본격화된다,https://www.boannews.com/media/view.asp?idx=135025&page=2&kind=2
농식품부, ‘한-호주 스마트팜 협력 위크’ 성공적 마무리,https://www.boannews.com/media/view.asp?idx=135026&page=2&kind=2
LG유플러스, 금오공대 캠퍼스에 오픈랜 상용망 구축,https://www.boannews.com/media/view.asp?idx=135027&page=3&kind=3
공공 치과의료에도 AI 솔루션 적용한다,https://www.boannews.com/media/view.asp?idx=135028&page=3&kind=2
데이터의 미래, 인공지능과 함께하는 가치 실현,https://www.boannews.com/media/view.asp?idx=135024&page=3&kind=2
서울시, 세계 2위 AI 인재 보유국 인도와 ‘AI 산업 협력 강화’ 힘 모은다,https://www.boannews.com/media/view.asp?idx=135029&page=3&kind=2
울산시, 자동차 산업 고도화 나선다,https://www.boannews.com/media/view.asp?idx=135030&page=3&kind=2
중국에서 활동 중인 미국 기업, 중국 해킹 조직의 감시와 침해에 노출돼,https://www.boannews.com/media/view.asp?idx=135031&page=3&kind=1
Web3 분야 종사자들을 표적으로 삼는 정교한 정보 탈취 캠페인 발견돼,https://www.boannews.com/media/view.asp?idx=135022&page=3&kind=1
[글로벌 인터뷰] “가트너가 선정한 데이터 보안 솔루션, SecuPi”,https://www.boannews.com/media/view.asp?idx=135012&page=3&kind=3
[이슈칼럼] 국가안보 확보, 국민 권익 보호·민주적 통제 대의 입각해야,https://www.boannews.com/media/view.asp?idx=134788&page=3&kind=6
딥페이크 활용 가짜뉴스 관련 대국민 조사, 절반 남짓 판별 못한다,https://www.boannews.com/media/view.asp?idx=135018&page=3&kind=2
마이크로소프트 “2025년 주목해야 할 6가지 AI 트렌드는...”,https://www.boannews.com/media/view.asp?idx=135016&page=3&kind=3
탄소중립 시대, 지방의회의 전문성으로 이끄는 지속가능한 미래,https://www.boannews.com/media/view.asp?idx=135021&page=3&kind=2
심리검사 플랫폼 ‘마음사랑’, 회원 개인정보 유출... 유출 규모 안 밝혀,https://www.boannews.com/media/view.asp?idx=135013&page=3&kind=1
페스카로, 정보통신산업진흥원 원장상 수상... 글로벌 역량 입증,https://www.boannews.com/media/view.asp?idx=135020&page=3&kind=3
넷앤드, 장애인 자립 위한 기부금 전달... ESG 경영 실천 확대,https://www.boannews.com/media/view.asp?idx=135019&page=3&kind=3
LG, 생성형 AI 새 버전 ‘엑사원 3.5’ 공개... 챗엑사원 정식 서비스,https://www.boannews.com/media/view.asp?idx=135015&page=3&kind=3
SKT, 글로벌 파트너들과 텔코 에지 AI 관련 연구 성과 발표,https://www.boannews.com/media/view.asp?idx=135014&page=3&kind=3
지니언스, 보안 기업 4개사와 ‘2024 사이버 보안 기업 콥데이’ 개최,https://www.boannews.com/media/view.asp?idx=135011&page=3&kind=3
SK쉴더스, 2024 차별없는 일터 조성 우수 기업으로 ‘고용노동부 장관상’ 수상,https://www.boannews.com/media/view.asp?idx=135010&page=3&kind=3
펜타시큐리티, BI 개편으로 글로벌 시장 브랜드 정체성 강화,https://www.boannews.com/media/view.asp?idx=135009&page=3&kind=3
아카라라이프, AIoT 사용자 편의 위해 에이치원래디오와 MOU,https://www.boannews.com/media/view.asp?idx=135007&page=4&kind=3
엔비디아, 베트남 R&D 센터 개소… AI 개발 역량 강화,https://www.boannews.com/media/view.asp?idx=135006&page=4&kind=3
한화 금융 3사, 美 샌프란시스코 AI 센터 개소,https://www.boannews.com/media/view.asp?idx=135005&page=4&kind=3
포티넷 코리아, ‘사랑의 밥차’와 무료 급식 나눔 활동 전개,https://www.boannews.com/media/view.asp?idx=135008&page=4&kind=3
안랩 V3, ‘AV-TEST’ 최신 평가에서 종합점수 만점으로 인증 통과,https://www.boannews.com/media/view.asp?idx=135004&page=4&kind=3
한국디지털포렌식센터, 한국마사회 특화 솔루션 개발 및 교육 진행,https://www.boannews.com/media/view.asp?idx=135003&page=4&kind=3
FLIR, 작업 효율과 안전성 높인 FlexView DFOV 렌즈 국내 출시,https://www.boannews.com/media/view.asp?idx=135002&page=4&kind=3
올해 25주년 맞이하는 CVE 프로그램, ‘취약점 관리 체계’ 역사 되짚어보기,https://www.boannews.com/media/view.asp?idx=134006&page=4&kind=4
2024년 사이버보안 위협 정리해보니... 2025년 대응방안이 보인다,https://www.boannews.com/media/view.asp?idx=134987&page=4&kind=1
매그니베르 랜섬웨어, 아직 죽지 않았다,https://www.boannews.com/media/view.asp?idx=134982&page=4&kind=1
고도화되는 보안위협, 지금 보안업계는 ‘연합작전’ 수행중,https://www.boannews.com/media/view.asp?idx=133710&page=4&kind=3
2024년 12월 첫째 주, 정보보안 전문가 채용 계획... 기업별 선호 인재상은?,https://www.boannews.com/media/view.asp?idx=134815&page=4&kind=3
검찰, 윤 대통령 ‘직권남용’ 및 ‘내란’ 혐의 피의자로 입건,https://www.boannews.com/media/view.asp?idx=135001&page=4&kind=1
검찰 비상계엄 특별수사본부, 김용현 전 국방부장관 전격 체포,https://www.boannews.com/media/view.asp?idx=135000&page=4&kind=1
‘비상계엄’ 혼란 여파... 한덕수 국무총리, 한동훈 당 대표 공동 대국민 담화 발표,https://www.boannews.com/media/view.asp?idx=134999&page=4&kind=1
[한 주를 관통하는 보안 소식] 2024년 12월 1주차, “대통령들”,https://www.boannews.com/media/view.asp?idx=134934&page=4&kind=1
[미술&보안] 수년 전 발발했던 미술계 대작 논란 속 대중과 전문가 사이 괴리의 정체,https://www.boannews.com/media/view.asp?idx=134940&page=4&kind=6
네이버, 접근성 증진 위한 12번째 ‘2024 널리 웨비나’ 개최,https://www.boannews.com/media/view.asp?idx=134993&page=4&kind=3
서울디지털재단, 10일 ‘제14회 스마트시티 서울 세미나’ 개최,https://www.boannews.com/media/view.asp?idx=134994&page=4&kind=2
양자 산업의 새로운 도약... 미래 양자 산업의 청사진 제시,https://www.boannews.com/media/view.asp?idx=134995&page=4&kind=2
김제시, 지능형 CCTV 관제 본격 가동해 시민안전 신속 대응,https://www.boannews.com/media/view.asp?idx=134996&page=5&kind=2
경과원, ‘월드클래스 최고전략 아카데미’ 수료식 개최... AI·DX 글로벌 리더 37명 배출,https://www.boannews.com/media/view.asp?idx=134997&page=5&kind=2
윤석열 대통령 대국민 담화 “제2의 계엄, 결코 없을 것”,https://www.boannews.com/media/view.asp?idx=134998&page=5&kind=1
네이버, UN에서 AI 안전 정책 사례 공유... 내재화한 기술 위에서 실천적 정책 수립,https://www.boannews.com/media/view.asp?idx=134992&page=5&kind=3
부모님의 디지털 도전을 응원해요!,https://www.boannews.com/media/view.asp?idx=134991&page=5&kind=3
한국 스마트팜, 호주와 3,900만불 규모 수주 계약 체결,https://www.boannews.com/media/view.asp?idx=134990&page=5&kind=2
방통위, ‘2024년 상반기 스팸 유통 현황’ 발표,https://www.boannews.com/media/view.asp?idx=134989&page=5&kind=2
TTA 표준총회, AI·개인정보보호 등 299건 디지털혁신기술 표준 승인,https://www.boannews.com/media/view.asp?idx=134986&page=5&kind=2
엔피코어, ‘2024 대한민국 소프트웨어대전’ 참가,https://www.boannews.com/media/view.asp?idx=134985&page=5&kind=3
SK스퀘어, 2025년 조직개편 및 임원인사,https://www.boannews.com/media/view.asp?idx=134984&page=5&kind=3
탈레스, ‘Data Risk Intelligence’ 출시,https://www.boannews.com/media/view.asp?idx=134983&page=5&kind=3
SKT, 2025년 조직 개편 시행,https://www.boannews.com/media/view.asp?idx=134981&page=5&kind=3
프라이빗테크놀로지, ‘대한민국 정보보호제품 혁신대상’ 수상,https://www.boannews.com/media/view.asp?idx=134980&page=5&kind=3
[인사] 개인정보보호위원회, 과장급 전보,https://www.boannews.com/media/view.asp?idx=134979&page=5&kind=2
시큐아이, 소외계층 위한 ‘사랑의 김장 나눔’ 실시,https://www.boannews.com/media/view.asp?idx=134988&page=5&kind=3
50대 이상 몸캠피싱 피해 급증... 스마트폰 익숙지 않아 범죄 표적,https://www.boannews.com/media/view.asp?idx=134975&page=5&kind=1
[속보] 악명 높은 랜섬웨어 조직 ‘랜섬허브’ 사이트 ‘먹통’,https://www.boannews.com/media/view.asp?idx=134969&page=5&kind=1
[부고] 한국인터넷진흥원 이상중 원장 빙모상,https://www.boannews.com/media/view.asp?idx=134977&page=5&kind=1
거대 자금 세탁 네트워크, 국제 제재도 무섭지 않게 만들어,https://www.boannews.com/media/view.asp?idx=134976&page=5&kind=1
윤리적 해커와 함께하는 따뜻한 보안 축제 ‘X-MAS CTB 2024’,https://www.boannews.com/media/view.asp?idx=134974&page=5&kind=3
