Title,Link
SKT 위약금 면제 종료 앞두고 이통사 가입자 쟁탈전 치열,https://www.boannews.com/media/view.asp?idx=138123&page=2&kind=1
GMX 4000만달러 해킹…해커, 화이트햇 보상금 받고 탈취 자산 반환 시작,https://www.boannews.com/media/view.asp?idx=138122&page=2&kind=1
이상휘 의원, ‘해킹 발생시 이용자에 즉시 통보 의무화’ 법안 발의,https://www.boannews.com/media/view.asp?idx=138121&page=2&kind=2
이지서티, ‘정보보호의 날’ 기념행사 참여...개인정보보호 기술 성과 발표,https://www.boannews.com/media/view.asp?idx=138120&page=2&kind=3
[부고] 백영현 유니온바이오메트릭스 연구소장 부친상,https://www.boannews.com/media/view.asp?idx=138119&page=2&kind=1
신임 차관의 보안 사랑...데프콘 출정식 깜짝 방문, 화이트해커 격려,https://www.boannews.com/media/view.asp?idx=138118&page=2&kind=2
KITRI, 데프콘 출정식... BoB·WHS 출신 3개 팀 출전,https://www.boannews.com/media/view.asp?idx=138117&page=2&kind=2
당진도시공사, 2025년 하반기 개인정보보호 교육 실시,https://www.boannews.com/media/view.asp?idx=138116&page=2&kind=2
막스앤스펜서 턴 해커 붙잡혀...英 경찰, 대형 소매업체 연쇄 사이버 공격 혐의 4명 체포,https://www.boannews.com/media/view.asp?idx=138115&page=3&kind=1
KISIA 초청연수 성료…국내 보안기업, 아세안 시장 진출 청신호,https://www.boannews.com/media/view.asp?idx=138114&page=3&kind=2
소프트캠프-마크애니 제휴...하이브리드 업무 환경 보안 시장 공략,https://www.boannews.com/media/view.asp?idx=138111&page=3&kind=3
[카드뉴스] 클릭만 했을 뿐인데... 알고 보니 AI가 쓴 스팸 메일?!,https://www.boannews.com/media/view.asp?idx=138110&page=3&kind=1
세계 최고 해커 집결 ‘코드게이트 2025’ 성료…우승에 ‘블루 워터’,https://www.boannews.com/media/view.asp?idx=138109&page=3&kind=1
라온시큐어-파이디지털헬스케어, 의료 데이터 분야 PQC ‘맞손’,https://www.boannews.com/media/view.asp?idx=138107&page=3&kind=3
파이오링크-아스트론시큐리티, HCI 기반 CNAPP 보안 협력,https://www.boannews.com/media/view.asp?idx=138108&page=3&kind=3
SKT, 에이닷 엑스 3.1 선보여...독자 구축 가능한 경량 모델,https://www.boannews.com/media/view.asp?idx=138106&page=3&kind=3
신진 화이트해커 등용문, ‘2025 청소년 정보보호 페스티벌’ 14일부터 참가 접수,https://www.boannews.com/media/view.asp?idx=138103&page=3&kind=2
티피링크 오마다, 경제적인 클라우드 관리형 스위치 ‘ES224G’ 출시,https://www.boannews.com/media/view.asp?idx=138105&page=3&kind=3
인텔리빅스, 라이온로보틱스와 AI 기반 이동형 로봇 솔루션 개발 나선다,https://www.boannews.com/media/view.asp?idx=138104&page=3&kind=3
[방산보안 칼럼] “망은 닫혔지만, 공격은 열려 있다” 통제권 상실한 무기체계,https://www.boannews.com/media/view.asp?idx=138102&page=3&kind=2
특허청, ‘글로벌 사우스’ 주요국과 IP 협력 본격화,https://www.boannews.com/media/view.asp?idx=138101&page=3&kind=1
수산아이앤티, CISO 800명에게 자사 SaaS 보안통제 솔루션 소개,https://www.boannews.com/media/view.asp?idx=138100&page=3&kind=3
맥도날드 알바 채용 사이트, 6400만 지원자 개인정보 무방비 노출,https://www.boannews.com/media/view.asp?idx=138097&page=3&kind=1
[2025 비식별 솔루션 리포트] 사용자의 ‘필요성’과 컴플라이언스 강화의 ‘강제성’이 시장 키운다,https://www.boannews.com/media/view.asp?idx=138082&page=3&kind=3
하이크비전, 직관적인 사용 편의성 제공하는 전자칠판 ‘원더허브’ 출시,https://www.boannews.com/media/view.asp?idx=138099&page=3&kind=3
[사람과 보안] 이재명 정부 AI 전략을 다시 묻다③ “산업과 정보권의 딜레마를 돌파하라”,https://www.boannews.com/media/view.asp?idx=138088&page=3&kind=2
[정보보호 주간] AI 시대 자동차 포렌식·위협 자동대응…정보보호 R&D 성과 한자리에,https://www.boannews.com/media/view.asp?idx=138098&page=3&kind=2
