Title,Link
포티넷, 2024년 3분기 실적, 전년 동기 대비 13.0% 증가,https://www.boannews.com/media/view.asp?idx=134325&page=3&kind=3
지니언스, 2024 3Q 영업이익 전년比 661% 오른 22억 원 달성,https://www.boannews.com/media/view.asp?idx=134322&page=4&kind=3
이글루코퍼레이션, 제2회 개발자 컨퍼런스 ‘IDC 2024’ 성료,https://www.boannews.com/media/view.asp?idx=134326&page=4&kind=3
금융보안원, ‘SW공급망보안 자율점검 체크리스트’ 개발,https://www.boannews.com/media/view.asp?idx=134327&page=4&kind=2
[한국정보공학기술사 보안을 論하다-8] 비대면 서비스의 편리성과 보안 문제점,https://www.boannews.com/media/view.asp?idx=134282&page=4&kind=6
[bnTV] 美 트럼프 당선에 증시 ‘후끈’ 국내는 ‘찬바람’... AI 관련주는 ‘순항’,https://www.boannews.com/media/view.asp?idx=134300&page=4&kind=3
깃허브에서 활동하는 개발자들을 노리는 고급 피싱 도구, 고이슈,https://www.boannews.com/media/view.asp?idx=134299&page=4&kind=1
호주 벵갈고양이 애호가들을 노리는 굿로더 캠페인,https://www.boannews.com/media/view.asp?idx=134297&page=4&kind=1
SKT ‘양자암호원칩’, 국정원 공식 인정 획득,https://www.boannews.com/media/view.asp?idx=134296&page=4&kind=3
경기남부청, 3,200억원대 가상자산 투자리딩 사기 범죄조직 총책 등 12명 구속,https://www.boannews.com/media/view.asp?idx=134292&page=4&kind=1
모니터랩, 제12회 통합 애플리케이션 보안 세미나 ‘IASF 2024’ 성료,https://www.boannews.com/media/view.asp?idx=134293&page=4&kind=3
해진공, 해운시황정보 AI 음성서비스 ‘KOBC 해운시황 캐스터’ 시범 운영,https://www.boannews.com/media/view.asp?idx=134279&page=4&kind=2
과기정통부·산업부·복지부, ‘제1차 한·영 과학기술혼성위원회’ 개최,https://www.boannews.com/media/view.asp?idx=134275&page=4&kind=2
행안부, ‘2024년 데이터 분석·활용 공모전’ 결선 개최,https://www.boannews.com/media/view.asp?idx=134274&page=4&kind=2
어렵고 복잡한 노동법, 생성형 AI가 쉽게 알려드려요,https://www.boannews.com/media/view.asp?idx=134273&page=4&kind=2
AI 등 디지털 전환에 따른 산업·고용 구조 재편 전망,https://www.boannews.com/media/view.asp?idx=134272&page=4&kind=2
국정원, 民·官 합동 ‘국가 디지털포렌식 워킹데이 2024’ 개최,https://www.boannews.com/media/view.asp?idx=134287&page=4&kind=2
[오늘의 보안 영어] in earnest,https://www.boannews.com/media/view.asp?idx=134291&page=4&kind=1
지원 기간 끝난 디링크 라우터에서 위험한 취약점 3개 발견돼,https://www.boannews.com/media/view.asp?idx=134290&page=4&kind=1
MS의 11월 정기 패치, 91개 취약점 중 4개가 제로데이,https://www.boannews.com/media/view.asp?idx=134289&page=4&kind=1
획기적인 위협이 될 새로운 피싱 도구 고이슈, 깃허브의 개발자들 노려,https://www.boannews.com/media/view.asp?idx=134288&page=4&kind=1
이스라엘 겨냥한 사이버 공격에 신용카드 결제 시스템 일제히 마비돼,https://www.boannews.com/media/view.asp?idx=134286&page=5&kind=1
시흥시, 디지털 저장매체 파기 서비스 무료 제공,https://www.boannews.com/media/view.asp?idx=134280&page=5&kind=2
서울시, 양자컴퓨팅의 현재와 미래 진단한다,https://www.boannews.com/media/view.asp?idx=134278&page=5&kind=2
LG유플러스, 전력 사용 줄이는 6G 네트워크 기술 실증,https://www.boannews.com/media/view.asp?idx=134277&page=5&kind=3
텐스토렌트와 전략적 협업... LG전자, AI 반도체 역량 확 키운다,https://www.boannews.com/media/view.asp?idx=134276&page=5&kind=3
스피어AX, 소방안전 빅데이터 플랫폼 오픈 기념 이벤트 진행,https://www.boannews.com/media/view.asp?idx=134283&page=5&kind=2
IBM 가디엄 데이터 시큐리티 센터 출시... 안전한 AI, 양자내성 고도화,https://www.boannews.com/media/view.asp?idx=134281&page=5&kind=3
스피어AX, ASOCIO Digital Summit서 2년 연속 수상 쾌거,https://www.boannews.com/media/view.asp?idx=134284&page=5&kind=3
경찰청 국가수사본부, ‘2024 안보지킴이 공모전’ 시상식 개최,https://www.boannews.com/media/view.asp?idx=134285&page=5&kind=2
[한국정보보호학회 칼럼] 영화 ‘M3GAN’으로 본 인공지능의 위험성,https://www.boannews.com/media/view.asp?idx=134269&page=5&kind=6
공격자들 사이에서 점점 수요가 높아지는 것, 백신 무력화 도구,https://www.boannews.com/media/view.asp?idx=134271&page=5&kind=1
맥OS 통해 암호화폐 산업 공격하는 북한 해커들, 여전히 진화하기에 부지런해,https://www.boannews.com/media/view.asp?idx=134270&page=5&kind=1
10월 악성코드 통계 분석 결과... 3년간 리눅스 서버 공격한 perfctl 악성코드 발견,https://www.boannews.com/media/view.asp?idx=134248&page=5&kind=1
KISA-중미경제통합은행, 중미 지역 대상 사이버보안 역량 강화 및 지식 공유 협력 추진,https://www.boannews.com/media/view.asp?idx=134267&page=5&kind=2
이지서티, 합성데이터 유용성 측정지표 조사연구 발표,https://www.boannews.com/media/view.asp?idx=134265&page=5&kind=3
TTA, FIDO 얼라이언스 원격 안면인식 규격 국제공인 시험자격 획득,https://www.boannews.com/media/view.asp?idx=134263&page=5&kind=3
한국우주안보학회 변용익 부회장 “우주항공 분야, 규범 회색지대로 법적 해결방안 모색해야”,https://www.boannews.com/media/view.asp?idx=134266&page=5&kind=2
동국대 해양경찰청 연구팀, 재난정보학회서 우수 논문상 수상,https://www.boannews.com/media/view.asp?idx=134264&page=5&kind=2
과기정통부, 부처 협업 통해 디지털트윈 기반 지하공동구 재난관리 플랫폼 구현,https://www.boannews.com/media/view.asp?idx=134261&page=5&kind=2
모니터랩 이광후 대표 “망분리 규제 완화에 초점 맞춰 보안 강화해야”,https://www.boannews.com/media/view.asp?idx=134257&page=5&kind=3
